text,label
"I recently acquired this item and I must say, it has surpassed all conceivable expectations. Highly recommended.",fake
This device has transformed my daily routine with its intuitive and elegant design..,fake
This phone exceeded my expectations. The battery lasts all day and the camera is fantastic. Not bad.,real
This smartwatch tracks fitness well and has a sleek design. It's okay.,real
Truly outstanding. The craftsmanship is second to none and it offers tremendous value..,fake
Great headphones with amazing sound quality and noise cancellation. Would buy again.,real
"I recently acquired this item and I must say, it has surpassed all conceivable expectations. Five stars.",fake
"I love this coffee maker. It's quick, quiet, and makes a great cup every time..",real
Great headphones with amazing sound quality and noise cancellation..,real
This phone exceeded my expectations. The battery lasts all day and the camera is fantastic. Definitely worth it.,real
An extraordinary product experience that seamlessly blends form and function. It's okay.,fake
Truly outstanding. The craftsmanship is second to none and it offers tremendous value. Works great for me.,fake
"Remarkable innovation. From unboxing to usage, it's a superior experience. Five stars.",fake
This phone exceeded my expectations. The battery lasts all day and the camera is fantastic. Would buy again.,real
This revolutionary gadget delivers unparalleled performance and functionality. Would buy again.,fake
Excellent customer service and the product works as described. Highly recommended.,real
"I recently acquired this item and I must say, it has surpassed all conceivable expectations..",fake
"After extensive usage, I can confidently affirm this is among the finest purchases I've made. Five stars.",fake
This smartwatch tracks fitness well and has a sleek design. It's okay.,real
An indispensable item. I can't imagine my life without it now. Definitely worth it.,fake
This phone exceeded my expectations. The battery lasts all day and the camera is fantastic. Not bad.,real
Excellent customer service and the product works as described. Works great for me.,real
Excellent customer service and the product works as described. No complaints.,real
This phone exceeded my expectations. The battery lasts all day and the camera is fantastic. Pretty solid overall.,real
Truly outstanding. The craftsmanship is second to none and it offers tremendous value. Works great for me.,fake
"After extensive usage, I can confidently affirm this is among the finest purchases I've made. Highly recommended.",fake
This is my go-to moisturizer. It's lightweight and hydrates all day. Five stars.,real
This revolutionary gadget delivers unparalleled performance and functionality. Five stars.,fake
"Undoubtedly, this is an exceptional item characterized by impeccable build quality. Would buy again.",fake
This book was a thrilling read from start to finish. Highly recommended! Highly recommended.,real
This revolutionary gadget delivers unparalleled performance and functionality. No complaints.,fake
Great headphones with amazing sound quality and noise cancellation. Works great for me.,real
"I love this coffee maker. It's quick, quiet, and makes a great cup every time. No complaints.",real
Excellent customer service and the product works as described. It's okay.,real
The vacuum cleaner is powerful and lightweight. Perfect for daily use..,real
Fantastic quality screen. The display is crisp and colors are vibrant..,real
The chair was easy to assemble and very comfortable to sit on for long hours. Would buy again.,real
This device has transformed my daily routine with its intuitive and elegant design. Five stars.,fake
This is my go-to moisturizer. It's lightweight and hydrates all day. Works great for me.,real
An indispensable item. I can't imagine my life without it now..,fake
An indispensable item. I can't imagine my life without it now. Highly recommended.,fake
Excellent customer service and the product works as described. Not bad.,real
This book was a thrilling read from start to finish. Highly recommended! Highly recommended.,real
This smartwatch tracks fitness well and has a sleek design. No complaints.,real
The chair was easy to assemble and very comfortable to sit on for long hours. Pretty solid overall.,real
"Remarkable innovation. From unboxing to usage, it's a superior experience. Pretty solid overall.",fake
This smartwatch tracks fitness well and has a sleek design. Pretty solid overall.,real
An indispensable item. I can't imagine my life without it now. Highly recommended.,fake
This is my go-to moisturizer. It's lightweight and hydrates all day. Definitely worth it.,real
Truly outstanding. The craftsmanship is second to none and it offers tremendous value. Works great for me.,fake
This revolutionary gadget delivers unparalleled performance and functionality. Definitely worth it.,fake
This smartwatch tracks fitness well and has a sleek design. Definitely worth it.,real
"I love this coffee maker. It's quick, quiet, and makes a great cup every time. Works great for me.",real
The chair was easy to assemble and very comfortable to sit on for long hours. Not bad.,real
An extraordinary product experience that seamlessly blends form and function..,fake
This phone exceeded my expectations. The battery lasts all day and the camera is fantastic..,real
This book was a thrilling read from start to finish. Highly recommended! Works great for me.,real
Excellent customer service and the product works as described. Would buy again.,real
This book was a thrilling read from start to finish. Highly recommended! Would buy again.,real
Truly outstanding. The craftsmanship is second to none and it offers tremendous value. It's okay.,fake
"After extensive usage, I can confidently affirm this is among the finest purchases I've made..",fake
"I love this coffee maker. It's quick, quiet, and makes a great cup every time. It's okay.",real
This device has transformed my daily routine with its intuitive and elegant design..,fake
"I love this coffee maker. It's quick, quiet, and makes a great cup every time. Highly recommended.",real
An indispensable item. I can't imagine my life without it now. Five stars.,fake
"I recently acquired this item and I must say, it has surpassed all conceivable expectations. Would buy again.",fake
Truly outstanding. The craftsmanship is second to none and it offers tremendous value. Would buy again.,fake
This phone exceeded my expectations. The battery lasts all day and the camera is fantastic. No complaints.,real
This phone exceeded my expectations. The battery lasts all day and the camera is fantastic. No complaints.,real
The chair was easy to assemble and very comfortable to sit on for long hours. Definitely worth it.,real
"Remarkable innovation. From unboxing to usage, it's a superior experience. It's okay.",fake
This is my go-to moisturizer. It's lightweight and hydrates all day. It's okay.,real
"Undoubtedly, this is an exceptional item characterized by impeccable build quality. Works great for me.",fake
"Remarkable innovation. From unboxing to usage, it's a superior experience. Pretty solid overall.",fake
